regime,rho_a,sigma_a,variable,impact,peak_abs,t_peak,cumulative,halflife
NO_POLICY,0.95,0.005,mc,0.000112690821687633,0.000112690821687633,0,0.00106033257798488,8
NO_POLICY,0.95,0.005,pie,8.13805831760828e-05,8.13805831760828e-05,0,0.000279433251198835,5
NO_POLICY,0.95,0.005,z,0.00218725742325904,0.00218725742325904,0,0.0338422165973011,NaN
NO_POLICY,0.95,0.005,u,0,0,0,0,0
NO_POLICY,0.95,0.005,pz,1.4791141972894e-33,1.4791141972894e-33,0,-2.03267716715604e-33,1
NO_POLICY,0.95,0.005,rnom,0.0002466078278065,0.0002466078278065,0,0.000846767427875372,5
NO_POLICY,0.95,0.01,y,0.00972114410337355,0.00972114410337355,0,0.150409851543562,NaN
NO_POLICY,0.95,0.01,c,0.00287622996896542,0.00388395915113027,12,0.0766142551694995,NaN
NO_POLICY,0.95,0.01,iv,0.0068449141344081,0.0068449141344081,0,0.0737955963740597,10
NO_POLICY,0.95,0.01,l,0.000748385026670018,0.000748385026670018,0,0.00551916797367263,7
NO_POLICY,0.95,0.01,mc,0.000225381643375266,0.000225381643375266,0,0.0021206651559702,8
NO_POLICY,0.95,0.01,pie,0.000162761166352166,0.000162761166352166,0,0.000558866502397337,5
NO_POLICY,0.95,0.01,z,0.00437451484651807,0.00437451484651807,0,0.0676844331946023,NaN
NO_POLICY,0.95,0.01,u,0,0,0,0,0
NO_POLICY,0.95,0.01,pz,2.9582283945788e-33,2.9582283945788e-33,0,-4.06535433431207e-33,1
NO_POLICY,0.95,0.01,rnom,0.000493215655613,0.000493215655613,0,0.00169353485575074,5
NO_POLICY,0.95,0.02,y,0.0194422882067471,0.0194422882067471,0,0.300819703087123,NaN
NO_POLICY,0.95,0.02,c,0.00575245993793094,0.00776791830226042,12,0.153228510339,NaN
NO_POLICY,0.95,0.02,iv,0.0136898282688162,0.0136898282688162,0,0.147591192748119,10
NO_POLICY,0.95,0.02,l,0.00149677005334004,0.00149677005334004,0,0.0110383359473452,7
NO_POLICY,0.95,0.02,mc,0.000450763286750644,0.000450763286750644,0,0.00424133031194018,8
NO_POLICY,0.95,0.02,pie,0.000325522332704553,0.000325522332704553,0,0.00111773300479501,5
NO_POLICY,0.95,0.02,z,0.0087490296930362,0.0087490296930362,0,0.135368866389205,NaN
NO_POLICY,0.95,0.02,u,0,0,0,0,0
NO_POLICY,0.95,0.02,pz,5.91645678915759e-33,5.91645678915759e-33,0,-8.13070866862415e-33,1
NO_POLICY,0.95,0.02,rnom,0.000986431311225777,0.000986431311225777,0,0.00338706971150171,5
CAP_AND_TRADE,0.85,0.005,y,0.00466268010814841,0.00466268010814841,0,0.036563906404979,6
CAP_AND_TRADE,0.85,0.005,c,0.000910724254301831,0.00100807084291321,4,0.0182085909944671,NaN
CAP_AND_TRADE,0.85,0.005,iv,0.00365695634403623,0.00365695634403623,0,0.0176103461858046,4
CAP_AND_TRADE,0.85,0.005,l,0.000338093631326669,0.000338093631326669,0,0.00053709569324295,3
CAP_AND_TRADE,0.85,0.005,mc,0.000133559559373775,0.000133559559373775,0,0.00054557555471868,4
CAP_AND_TRADE,0.85,0.005,pie,3.57088486375723e-05,3.57088486375723e-05,0,-0.000324765648765935,2
CAP_AND_TRADE,0.85,0.005,z,0,0,0,0,0
CAP_AND_TRADE,0.85,0.005,u,0.00503530522678122,0.00503530522678122,0,0.0394859661744287,6
CAP_AND_TRADE,0.85,0.005,pz,0.00257637180678509,0.00257637180678509,0,0.0202034485366244,6
CAP_AND_TRADE,0.85,0.005,rnom,0.000108208632234819,0.000108208632234819,0,-0.000984138329593653,2
